bs_month,bs_year,bs_account_name,bs_amount,bs_src
07,2022,Intangible Assets - Net,5280637.885882659,FC
07,2022,Deferred income tax,96617.54551159487,FC
07,2022,Deferred charges & Others,775120.9406048966,FC
08,2022,Cash on hand and in banks,1117794.736100266,FC
08,2022,Accounts receivable - trade,3184178.238549348,FC
08,2022,Accounts receivable - trade from affiliated company,374844.75224880676,FC
08,2022,Contract Assets,41.961220000000004,FC
08,2022,Current account receivable from affiliated company,0.0,FC
08,2022,Promissory note and loans to affiliated company,0.0,FC
08,2022,Promissory note and maketable securities,0.0,FC
08,2022,Finished Goods,1312572.961356982,FC
08,2022,Works in process,581128.774328287,FC
08,2022,Raw materials,1096902.475864226,FC
08,2022,Spare parts,539913.1352799999,FC
08,2022,"Stores, Supplies and others",304736.44438,FC
08,2022,Goods in transit,225693.428359165,FC
08,2022,Assets classified as held for sale & Other Current Assets,469601.44738739985,FC
08,2022,Investments - At Cost,425905.58737170446,FC
08,2022,Long Term Loan to Affiliate Co.,0.0,FC
08,2022,Land and land improvements,1296081.90162,FC
08,2022,Buildings and structures,5220532.62671557,FC
08,2022,Plant machinery and equipment,45799021.6670913,FC
08,2022,Transportation and miscellaneous equipment,241722.45385408698,FC
08,2022,Office furniture and equipment,580842.18873153,FC
08,2022,Right of use - cost,1793331.033782037,FC
08,2022,Construction in progress,301317.27995679097,FC
08,2022,Other depreciation assets,44846.98986,FC
08,2022,Accumulated depreciation,-37365354.21794706,FC
08,2022,Appraisal increase of assets,0.0,FC
08,2022,Intangible Assets - Net,5071842.839502292,FC
08,2022,Deferred income tax,85723.1956689342,FC
08,2022,Deferred charges & Others,795212.804804438,FC
09,2022,Cash on hand and in banks,1282360.8870560785,FC
09,2022,Accounts receivable - trade,3032003.390676081,FC
09,2022,Accounts receivable - trade from affiliated company,493694.27917,FC
09,2022,Contract Assets,58.19451,FC
09,2022,Current account receivable from affiliated company,0.0,FC
09,2022,Promissory note and loans to affiliated company,0.0,FC
09,2022,Promissory note and maketable securities,0.0,FC
09,2022,Finished Goods,1397583.89049526,FC
09,2022,Works in process,580059.274180855,FC
09,2022,Raw materials,1073344.3193032676,FC
09,2022,Spare parts,549136.27557,FC
09,2022,"Stores, Supplies and others",307810.60295,FC
09,2022,Goods in transit,240744.804155675,FC
09,2022,Assets classified as held for sale & Other Current Assets,512290.29888996715,FC
09,2022,Investments - At Cost,433940.0313583975,FC
09,2022,Long Term Loan to Affiliate Co.,0.0,FC
09,2022,Land and land improvements,1296481.4885999998,FC
09,2022,Buildings and structures,5226683.20969306,FC
09,2022,Plant machinery and equipment,45802367.58788004,FC
09,2022,Transportation and miscellaneous equipment,243195.2184000365,FC
09,2022,Office furniture and equipment,581457.993333848,FC
09,2022,Right of use - cost,1811335.383833229,FC
09,2022,Construction in progress,282956.0493521,FC
09,2022,Other depreciation assets,44846.98986,FC
09,2022,Accumulated depreciation,-37476353.32249827,FC
09,2022,Appraisal increase of assets,0.0,FC
09,2022,Intangible Assets - Net,5019667.120817273,FC
09,2022,Deferred income tax,78172.30994111842,FC
09,2022,Deferred charges & Others,789841.08264774,FC
10,2022,Cash on hand and in banks,1637887.8256523085,FC
10,2022,Accounts receivable - trade,3528847.997053042,FC
10,2022,Accounts receivable - trade from affiliated company,355363.6711814083,FC
10,2022,Contract Assets,74.96891000000001,FC
10,2022,Current account receivable from affiliated company,0.0,FC
10,2022,Promissory note and loans to affiliated company,0.0,FC
10,2022,Promissory note and maketable securities,0.0,FC
10,2022,Finished Goods,1590152.742171846,FC
10,2022,Works in process,511752.47135148454,FC
10,2022,Raw materials,1045277.3244237606,FC
10,2022,Spare parts,554205.489,FC
10,2022,"Stores, Supplies and others",314980.27038999996,FC
10,2022,Goods in transit,261053.9255031555,FC
10,2022,Assets classified as held for sale & Other Current Assets,488346.62222637533,FC
10,2022,Investments - At Cost,439347.7964037833,FC
10,2022,Long Term Loan to Affiliate Co.,0.0,FC
10,2022,Land and land improvements,1296736.00773,FC
10,2022,Buildings and structures,5225237.235998121,FC
10,2022,Plant machinery and equipment,45801510.5415417,FC
10,2022,Transportation and miscellaneous equipment,243833.4769291295,FC
10,2022,Office furniture and equipment,581963.0378335696,FC
10,2022,Right of use - cost,1817374.2693053212,FC
10,2022,Construction in progress,352537.11707234354,FC
10,2022,Other depreciation assets,44846.98986,FC
10,2022,Accumulated depreciation,-37631319.66758014,FC
10,2022,Appraisal increase of assets,0.0,FC
10,2022,Intangible Assets - Net,5209021.687132653,FC
10,2022,Deferred income tax,79448.33905961638,FC
10,2022,Deferred charges & Others,804579.291514807,FC
11,2022,Cash on hand and in banks,1762585.3200380153,FC
11,2022,Accounts receivable - trade,3627755.4507918316,FC
11,2022,Accounts receivable - trade from affiliated company,302242.3233432924,FC
11,2022,Contract Assets,91.20219999999999,FC
11,2022,Current account receivable from affiliated company,0.0,FC
11,2022,Promissory note and loans to affiliated company,0.0,FC
11,2022,Promissory note and maketable securities,0.0,FC
11,2022,Finished Goods,1394295.2176594397,FC
11,2022,Works in process,475353.29102406197,FC
11,2022,Raw materials,1036978.0327305405,FC
11,2022,Spare parts,552751.38661,FC
11,2022,"Stores, Supplies and others",309547.64764,FC
11,2022,Goods in transit,280446.59232008,FC
11,2022,Assets classified as held for sale & Other Current Assets,551370.4540230938,FC
11,2022,Investments - At Cost,433208.9431874297,FC
11,2022,Long Term Loan to Affiliate Co.,0.0,FC
11,2022,Land and land improvements,1285511.08491,FC
11,2022,Buildings and structures,5223822.950348667,FC
11,2022,Plant machinery and equipment,45778941.868149415,FC
11,2022,Transportation and miscellaneous equipment,242506.55761594998,FC
11,2022,Office furniture and equipment,582076.1635986395,FC
11,2022,Right of use - cost,1805082.5500177757,FC
11,2022,Construction in progress,384544.641840298,FC
11,2022,Other depreciation assets,44846.98986,FC
11,2022,Accumulated depreciation,-37732001.10708973,FC
11,2022,Appraisal increase of assets,0.0,FC
11,2022,Intangible Assets - Net,5009969.893281041,FC
11,2022,Deferred income tax,71620.11845636148,FC
11,2022,Deferred charges & Others,799702.4243805296,FC
12,2022,Cash on hand and in banks,1603483.7476334614,FC
12,2022,Accounts receivable - trade,3239176.041619598,FC
12,2022,Accounts receivable - trade from affiliated company,289620.44586000004,FC
12,2022,Contract Assets,735.0065999999999,FC
12,2022,Current account receivable from affiliated company,0.0,FC
12,2022,Promissory note and loans to affiliated company,0.0,FC
12,2022,Promissory note and maketable securities,0.0,FC
12,2022,Finished Goods,1588403.1754528403,FC
12,2022,Works in process,528768.4953141855,FC
12,2022,Raw materials,1090119.398835568,FC
12,2022,Spare parts,557833.5495600001,FC
12,2022,"Stores, Supplies and others",319734.78939,FC
12,2022,Goods in transit,338518.005884952,FC
12,2022,Assets classified as held for sale & Other Current Assets,542852.632445845,FC
12,2022,Investments - At Cost,420538.3069193723,FC
12,2022,Long Term Loan to Affiliate Co.,0.0,FC
12,2022,Land and land improvements,1297080.5361199998,FC
12,2022,Buildings and structures,5231760.069533286,FC
12,2022,Plant machinery and equipment,45822420.02109451,FC
12,2022,Transportation and miscellaneous equipment,241339.720645119,FC
12,2022,Office furniture and equipment,583810.2998504204,FC
12,2022,Right of use - cost,1789609.9557044639,FC
12,2022,Construction in progress,390946.056951819,FC
12,2022,Other depreciation assets,44846.98986,FC
12,2022,Accumulated depreciation,-37880958.016269624,FC
12,2022,Appraisal increase of assets,0.0,FC
12,2022,Intangible Assets - Net,4918795.997688774,FC
12,2022,Deferred income tax,66403.7720810545,FC
12,2022,Deferred charges & Others,800047.2879080981,FC
