bs_month,bs_year,bs_account_name,bs_amount,bs_src
04,2022,Transportation and Miscellaneous Equipment,352994.36193808797,PPP
04,2022,Office Furniture and Equipment,122972.937858488,PPP
04,2022,Construction in Progress,919043.1734648721,PPP
04,2022,Sundry Assets,0.0,PPP
04,2022,Accumulated Depreciation,-8059309.5563757345,PPP
04,2022,Right of Use Assets,-3977.3468700000003,PPP
04,2022,Other Assets,0.0,PPP
04,2022,Investment Property,6830.280839999999,PPP
04,2022,Goodwill - Dyna & Orient,17894.824679999998,PPP
04,2022,Deferred Income Tax,106045.65710957586,PPP
04,2022,Deferred Charges & Others,154885.877124128,PPP
04,2022,Manpower,1662.0,PPP
05,2022,Cash on Hand and in Banks,1182403.3861775654,PPP
05,2022,Accounts and Notes Receivable - Trade,3297948.592501914,PPP
05,2022,Receivable from Subsidiaries - Trade,26953.561792747198,PPP
05,2022,Receivable from Subsidiaries - Current Account,10394.998289999992,PPP
05,2022,Promissory Notes Receivable to Subsidiaries,2595487.06329,PPP
05,2022,Contract Assets,0.0,PPP
05,2022,Inventories - Finished Goods,1402300.0019349814,PPP
05,2022,Goods in Process,240376.41939217548,PPP
05,2022,Raw Materials,1394005.6575670429,PPP
05,2022,Spare Parts,137054.3411627635,PPP
05,2022,"Stores, Supplies and Others",104405.5985164865,PPP
05,2022,Goods in Transit,143454.4481421155,PPP
05,2022,Other Current Assets,272712.6878997323,PPP
05,2022,Investments - At Cost,13215806.62006537,PPP
05,2022,"Property, Plant And Equipment - At Cost",0.0,PPP
05,2022,Land and Land Improvements,680377.9043664364,PPP
05,2022,Buildings and Structures,2734958.284196981,PPP
05,2022,Plant Machinery and Equipment,10481280.078591404,PPP
05,2022,Transportation and Miscellaneous Equipment,348953.0980517485,PPP
05,2022,Office Furniture and Equipment,122844.9270567985,PPP
05,2022,Construction in Progress,941205.3223889185,PPP
05,2022,Sundry Assets,0.0,PPP
05,2022,Accumulated Depreciation,-8108351.655607341,PPP
05,2022,Right of Use Assets,-3977.3468700000003,PPP
05,2022,Other Assets,0.0,PPP
05,2022,Investment Property,6830.280839999999,PPP
05,2022,Goodwill - Dyna & Orient,17559.622065,PPP
05,2022,Deferred Income Tax,102031.12592568512,PPP
05,2022,Deferred Charges & Others,132328.9858773255,PPP
05,2022,Manpower,1652.0,PPP
06,2022,Cash on Hand and in Banks,4566213.929717855,PPP
06,2022,Accounts and Notes Receivable - Trade,3595709.744816945,PPP
06,2022,Receivable from Subsidiaries - Trade,33979.15400860318,PPP
06,2022,Receivable from Subsidiaries - Current Account,412.27393999999913,PPP
06,2022,Promissory Notes Receivable to Subsidiaries,2696053.39563,PPP
06,2022,Contract Assets,0.0,PPP
06,2022,Inventories - Finished Goods,1353457.9058575137,PPP
06,2022,Goods in Process,239622.7166536374,PPP
06,2022,Raw Materials,1465535.982526552,PPP
06,2022,Spare Parts,141578.81326656998,PPP
06,2022,"Stores, Supplies and Others",111021.81189205,PPP
06,2022,Goods in Transit,126687.95357560499,PPP
06,2022,Other Current Assets,268055.286528348,PPP
06,2022,Investments - At Cost,13687281.226138018,PPP
06,2022,"Property, Plant And Equipment - At Cost",0.0,PPP
06,2022,Land and Land Improvements,691900.4892482089,PPP
06,2022,Buildings and Structures,2779344.1593361786,PPP
06,2022,Plant Machinery and Equipment,10640775.04896508,PPP
06,2022,Transportation and Miscellaneous Equipment,351316.97746800096,PPP
06,2022,Office Furniture and Equipment,125895.978070662,PPP
06,2022,Construction in Progress,994359.256701553,PPP
06,2022,Sundry Assets,0.0,PPP
06,2022,Accumulated Depreciation,-8312914.257920891,PPP
06,2022,Right of Use Assets,-3977.3468700000003,PPP
06,2022,Other Assets,0.0,PPP
06,2022,Investment Property,6830.280839999999,PPP
06,2022,Goodwill - Dyna & Orient,17674.86344999999,PPP
06,2022,Deferred Income Tax,103986.01162154255,PPP
06,2022,Deferred Charges & Others,133604.454330877,PPP
06,2022,Manpower,1679.0,PPP
07,2022,Cash on Hand and in Banks,1032377.780723024,PPP
07,2022,Accounts and Notes Receivable - Trade,3731747.9288019557,PPP
07,2022,Receivable from Subsidiaries - Trade,36111.11518073268,PPP
07,2022,Receivable from Subsidiaries - Current Account,316.66038000000117,PPP
07,2022,Promissory Notes Receivable to Subsidiaries,2676247.13299,PPP
07,2022,Contract Assets,0.0,PPP
07,2022,Inventories - Finished Goods,1357019.5477099072,PPP
07,2022,Goods in Process,249135.84710077537,PPP
07,2022,Raw Materials,1575363.7622588251,PPP
07,2022,Spare Parts,138092.508849725,PPP
07,2022,"Stores, Supplies and Others",117150.6138541,PPP
